Data,Time,LabName,WaterTemp,pH,DissolveOxygen,TotalNitrogen,Phosphorus,TotalOrganicCarbons,Phenol,Cyan
20210411,0.208333333,선유,14.9,7.2,8.9,3.12,0.068,2.3,0,0
20210411,0.208333333,노량진,14.5,7.3,9.1,2.95,0.044,2.3,0,0
20210411,0.166666667,탄천,15.9,6.9,5.6,8.22,0.08,4.1,0,0
20210411,0.166666667,중랑천,16.5,7.3,6.8,5.8,0.14,4.6,0,0
20210411,0.166666667,안양천,15.5,6.9,5,9.61,0.2,5.3,0,0
20210411,0.166666667,선유,15,7.2,9,3.18,0.063,2.7,0,0
20210411,0.166666667,노량진,14.6,7.3,9.2,2.925,0.048,2.4,0,0
20210411,0.125,탄천,16.2,6.9,5.6,8.28,0.08,4.3,0,0
20210411,0.125,중랑천,16.6,7.3,7.1,5.8,0.14,4.5,0,0
20210411,0.125,안양천,15.9,6.9,4.9,9.4,0.19,5.5,0,0
20210411,0.125,선유,15,7.2,9,3.18,0.06,2.6,0,0
20210411,0.125,노량진,14.5,7.3,9.3,2.875,0.05,2.1,0,0
20210411,0.083333333,탄천,16.5,6.9,5.5,8.48,0.08,4.2,0,0
20210411,0.083333333,중랑천,16.8,7.3,7.4,5.8,0.14,4.5,0,0
20210411,0.083333333,안양천,16.3,6.9,4.7,9.18,0.245,5.5,0,0
20210411,0.083333333,선유,15.1,7.2,9,3.16,0.063,2.2,0,0
20210411,0.083333333,노량진,14.5,7.3,9.2,2.875,,2.2,0,0
20210411,0.041666667,탄천,16.7,6.9,5.6,8.56,0.08,4.2,0,0
20210411,0.041666667,중랑천,17.1,7.3,7.7,5.8,0.14,4.4,0,0
20210411,0.041666667,안양천,16.7,6.9,4.7,9.13,0.255,5.7,0,0
20210411,0.041666667,선유,15.1,7.2,9,3.16,0.067,2.4,0,0
20210411,0.041666667,노량진,14.4,7.3,9.2,2.875,0.05,2.2,0,0
20210410,1,탄천,17,6.9,5.6,8.5,0.1,4.2,0,0
20210410,1,중랑천,17.3,7.4,8,5.8,0.14,5.3,0,0
20210410,1,안양천,17.3,6.9,5,8.94,0.28,5.9,0,0
20210410,1,선유,14.9,7.2,9.1,3.1,0.066,2.2,0,0
20210410,1,노량진,14.5,7.3,9.1,2.925,0.052,2.2,0,0
20210410,0.958333333,탄천,17.3,6.9,5.7,8.46,0.08,4.3,0,0
20210410,0.958333333,중랑천,17.5,7.4,8.2,5.8,0.14,4.5,0,0
20210410,0.958333333,안양천,17.8,6.9,4.8,8.9,0.26,6,0,0
20210410,0.958333333,선유,14.9,7.3,9.3,3.06,0.073,3.3,0,0
20210410,0.958333333,노량진,14.5,7.3,9.2,2.95,0.058,2.2,0,0
20210410,0.916666667,탄천,17.6,6.9,5.7,8.76,0.085,4.1,0,0
20210410,0.916666667,중랑천,17.7,7.4,8.5,5.8,0.14,4.3,0,0
20210410,0.916666667,안양천,18.5,6.9,5,8.83,0.27,6.6,0,0
20210410,0.916666667,선유,14.8,7.3,9.5,3.1,0.068,2.6,0,0
20210410,0.916666667,노량진,14.7,7.3,9.3,2.9,0.07,2.2,0,0
20210410,0.875,탄천,17.8,6.9,5.9,8.3,0.1,4.2,0,0
20210410,0.875,중랑천,17.9,7.4,8.7,5.8,0.14,4.4,0,0
